dataset,country,crop_ua,crop_ua_se,crop_pa,crop_pa_se,oa,oa_se,crop_f1_score,crop_f1_score_se,non_crop_ua,non_crop_pa,non_crop_ua_se,non_crop_pa_se,crop_area_proportion,crop_area_proportion_se
digital-earth-africa,Rwanda,0.6733659913266361,0.03984208025819331,0.7970339536559441,0.03571321979536707,0.6686722521561055,0.031127825371646264,0.7299994265585765,0.11341298201464034,0.6593475996083538,0.503994510246981,0.01916170843994637,0.01916170843994637,0.5619644236059437,0.030586081777119502
esri-lulc,Rwanda,0.7605469951521109,0.049072892540868156,0.5267823573407809,0.045426527453367706,0.6408645783283503,0.03130688590241749,0.6224401520851497,0.13952895499777587,0.5645914536036417,0.787222894903285,0.027068157092981115,0.027068157092981115,0.5619644236059437,0.030586081777119502
copernicus,Malawi,0.44661335495051235,0.04053181299498895,0.5139841158955045,0.04422679120195717,0.7653800933254724,0.01634541953709347,0.477936237306961,0.12667030613005845,0.8662993504538898,0.831782391706399,0.01599919619305812,0.01599919619305812,0.2089448037799901,0.014997482294639366
glad,Malawi,0.573409562500386,0.04495670406521167,0.5157659622986306,0.04413013494433284,0.8186483888745989,0.014944103406278216,0.5430623954735332,0.13346174890908874,0.8754055225733367,0.8986500240218408,0.015318319151408391,0.015318319151408391,0.2089448037799901,0.014997482294639366
gflfc30,Malawi,0.3759341820491182,0.06455798076750531,0.15770479650900265,0.030625663316435042,0.7693058202690666,0.016187086352604012,0.22219750079360964,0.12093989427712938,0.8070984796847945,0.93085062335212,0.016135130729931682,0.016135130729931682,0.2089448037799901,0.014997482294639366
dynamicworld,Malawi,0.5598988534424685,0.09426722040444663,0.11985745228774991,0.028899865437550305,0.7964136013271577,0.014803108330852318,0.19744737796983491,0.11662750058144136,0.8074879596401955,0.9751152804042631,0.015201646081917151,0.015201646081917151,0.2089448037799901,0.014997482294639366
digital-earth-africa,Malawi,0.4711553167209785,0.03599113857905975,0.6922591032535075,0.042233909741568765,0.7733446512620911,0.017111037510220653,0.5606971195243389,0.11473848514606635,0.9072139745934541,0.7947621250351027,0.016528238750112875,0.016528238750112875,0.2089448037799901,0.014997482294639366
esri-lulc,Malawi,0.5825342026009397,0.059578805912510524,0.308282207405501,0.04072805511518967,0.8093077047991417,0.014721499781345545,0.40319178643267833,0.13990317523554083,0.837500736954429,0.9416457195696945,0.015472724202892542,0.015472724202892542,0.2089448037799901,0.014997482294639366
copernicus,Tanzania,0.5084565400806447,0.037543067603481584,0.6756023733239429,0.03978755092347043,0.7918779378346908,0.017198027963373077,0.5802320160283895,0.11490860062748613,0.9036870240594738,0.8233301776398646,0.019067388677359555,0.019067388677359555,0.21290670331708217,0.015217214326537378
glad,Tanzania,0.6661035645342857,0.0394289110458065,0.6512668330750819,0.04075657787543079,0.856247007129103,0.013948103481396445,0.6586016503202211,0.1202881006600085,0.9062335256138464,0.9116936146496145,0.016557573189831164,0.016557573189831164,0.21290670331708217,0.015217214326537378
gflfc30,Tanzania,0.39009577951446395,0.044998028169294706,0.3217151330741423,0.038104680565350456,0.7484980394622806,0.017286889157326114,0.35262093738281886,0.12360838654578343,0.8248314889655676,0.8639417130574153,0.017968166292621907,0.017968166292621907,0.21290670331708217,0.015217214326537378
dynamicworld,Tanzania,0.6583881383709281,0.0638168131338332,0.29531796349532835,0.03709669333118487,0.8173450013697143,0.01534021986764613,0.40774373537656045,0.13388547911467868,0.8341279112712597,0.9585519664710718,0.01650752238543443,0.01650752238543443,0.21290670331708217,0.015217214326537378
digital-earth-africa,Tanzania,0.5565031937574875,0.03913631837193585,0.6580725853369026,0.04049067801018154,0.8155443575746556,0.016110711233888294,0.6030409987877298,0.11904881161047923,0.9027061748078641,0.8581400651406224,0.01813924916362064,0.01813924916362064,0.21290670331708217,0.015217214326537378
esri-lulc,Tanzania,0.7279360333090723,0.06162174847916791,0.2874813965685311,0.03690618010984843,0.8254241815728537,0.014681561285722471,0.41218135775643255,0.12780188806633985,0.8343737347013986,0.9709363151549282,0.015921546414413144,0.015921546414413144,0.21290670331708217,0.015217214326537378
copernicus,Uganda,0.5081798250635058,0.030442726875785524,0.6623440204612607,0.03318735476224221,0.6831614943031663,0.018806249579945113,0.5751098018835548,0.09453176760810941,0.8108919263857727,0.6931273294735245,0.019807982360236207,0.019807982360236207,0.3237415174043798,0.018473690857085372
glad,Uganda,0.5872252781143005,0.028907855112325038,0.8239001730952068,0.027099166266649693,0.7554977785805639,0.017144013387772983,0.6857150905606081,0.08352614162886629,0.8955420804462259,0.7227518751069875,0.01952726018224115,0.01952726018224115,0.3237415174043798,0.018473690857085372
gflfc30,Uganda,0.4178285599796554,0.029223604064763663,0.5775002794889497,0.03453004121260783,0.6027219127488684,0.019630089629954182,0.4848570655212636,0.09395885608755614,0.7524518480482453,0.6147961270221486,0.019500385298298204,0.019500385298298204,0.3237415174043798,0.018473690857085372
dynamicworld,Uganda,0.5786148137279955,0.05975989793598114,0.18943434884925459,0.027207680838209396,0.6929233539160725,0.0182238251091285,0.2854231885503061,0.10279192602105372,0.7064753790853564,0.9339558861382551,0.01896752207327337,0.01896752207327337,0.3237415174043798,0.018473690857085372
digital-earth-africa,Uganda,0.4989159704586239,0.027611638916800633,0.7872544900263386,0.02906246347262385,0.6751509481266039,0.018618747558828704,0.6107648246583128,0.08326172872246246,0.8591978904470382,0.6214842338523117,0.019095023890009197,0.019095023890009197,0.3237415174043798,0.018473690857085372
