lat,lon,geom,binary,country,map,glad,digital-earth-africa,ensemble
-1.868271212,39.11637548,POINT(39.11637547899306 -1.868271212147575),0,Kenya,0,0,,
3.897655271,34.91729051,POINT(34.91729051490477 3.897655270501986),0,Kenya,0,0,,
1.390457313,38.3371768,POINT(38.33717680154779 1.390457312524401),0,Kenya,0,0,,
1.245289563,40.66183709,POINT(40.661837093792286 1.245289562610687),0,Kenya,0,0,,
-1.174502318,37.68535923,POINT(37.68535923139066 -1.174502318222068),0,Kenya,0,0,,
1.07883174,37.84894244,POINT(37.848942444628825 1.078831740463339),0,Kenya,0,0,,
-2.026284871,39.69408204,POINT(39.694082038210325 -2.026284870624198),0,Kenya,0,0,,
1.081077529,36.90678937,POINT(36.906789374644276 1.081077528673638),0,Kenya,0,0,,
-0.078916998,38.36098216,POINT(38.36098215657696 -0.0789169977099),0,Kenya,0,0,,
3.89235521,37.33115351,POINT(37.331153514862336 3.892355210325681),0,Kenya,0,0,,
2.101833186,40.31284161,POINT(40.31284160591185 2.10183318601865),0,Kenya,0,0,,
-0.309334868,36.68544449,POINT(36.68544448863722 -0.309334868086557),0,Kenya,0,0,,
4.184487341,36.41056001,POINT(36.41056001169665 4.184487340721349),0,Kenya,0,0,,
2.108031561,35.25505706,POINT(35.25505706173371 2.108031561479075),0,Kenya,0,0,,
0.833322173,35.88351843,POINT(35.88351843450373 0.833322173313474),0,Kenya,0,0,,
1.144229093,38.95360075,POINT(38.953600749510606 1.14422909314724),0,Kenya,0,0,,
2.296677771,37.15328709,POINT(37.153287088606675 2.296677771144175),0,Kenya,0,0,,
-1.723822114,37.88873781,POINT(37.88873781171532 -1.723822114461156),1,Kenya,0,0,,
-1.818684208,36.16082836,POINT(36.16082836271142 -1.818684208464177),0,Kenya,0,0,,
1.154829213,38.38900959,POINT(38.389009593441486 1.154829213499851),0,Kenya,0,0,,
0.447405927,40.0709253,POINT(40.07092529989846 0.447405927255728),0,Kenya,0,0,,
-0.358742209,39.64180009,POINT(39.64180008867457 -0.358742208713131),0,Kenya,0,0,,
-1.19633138,39.56589245,POINT(39.56589244716647 -1.196331379626173),0,Kenya,0,0,,
-0.241601896,40.26433258,POINT(40.264332580569395 -0.241601895663945),0,Kenya,0,0,,
0.227947503,39.56670093,POINT(39.566700930922174 0.227947503345329),0,Kenya,0,0,,
-2.412919769,36.77303023,POINT(36.77303022883888 -2.412919768909241),0,Kenya,0,0,,
